"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","[Negative] EKMS_Partition_07: Fail to add partition with dot in name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","932","[Negative] EKMS_Owner_06: Fail to add owner with space in username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1303","[Positive] EKMS_Group_09: Add an object type group to a partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","676","[Negative] EKMS_Privilege_05: Fail to revoke privileges for a non-existent source group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","514","[Negative] EKMS_Owner_04: Fail to add a duplicate owner (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","610","[Positive] EKMS_Group_09: Add an object type group to a partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","671","[Negative] EKMS_Partition_09: Fail to add partition with name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","345","[Negative] EKMS_IP_09: Fail to add restricted loopback IP address 127.0.0.1","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","898","[Positive] EKMS_IP_01: Add a valid IP address to whitelist","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1254","[Negative] EKMS_Privilege_05: Fail to revoke privileges for a non-existent source group","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1182","[Negative] EKMS_Privilege_06: Fail to grant privileges with underscore in source group name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","589","[Negative] EKMS_IP_13: Fail with an invalid action enum value in request","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1297","[Positive] EKMS_IP_08: List whitelisted IPs after multiple add and delete operations","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","783","[Negative] EKMS_Partition_08: Fail to add partition with space in name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","559","[Positive] EKMS_Owner_01: Add a new partition owner successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","758","[Negative] EKMS_Owner_07: Fail to add owner with hyphen in username","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1228","[Positive] EKMS_Partition_02: Delete an existing partition successfully","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","923","[Positive] EKMS_Group_10: Delete an object type group from a partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","495","[Positive] EKMS_Group_15: Add a group with a number-only valid alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","637","[Positive] EKMS_Owner_15: Add a partition owner with a number-only valid username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","767","[Positive] EKMS_Privilege_02: Revoke privileges between source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","699","[Negative] EKMS_Privilege_14: Fail to grant privileges when source group is not a user group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","710","[Positive] EKMS_Partition_15: List partitions to verify static partition inventory","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","495","[Negative] EKMS_Owner_05: Fail to delete a non-existent owner","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","532","[Positive] EKMS_Owner_02: Delete an existing partition owner successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1130","[Negative] EKMS_Privilege_04: Fail to grant duplicate privileges (already_exists sentinel)","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1060","[Positive] EKMS_Partition_15: List partitions to verify static partition inventory","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","935","[Negative] EKMS_Partition_08: Fail to add partition with space in name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","989","[Positive] EKMS_Partition_10: Verify partition credentials with valid admin password","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","712","[Negative] EKMS_Group_04: Fail to add a duplicate group (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","536","[Negative] EKMS_Partition_04: Fail to add a duplicate partition (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","623","[Positive] EKMS_Group_02: Delete a user group from a partition successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","676","[Negative] EKMS_Privilege_09: Fail to grant privileges with target group name shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","2035","[Positive] EKMS_IP_01: Add a valid IP address to whitelist","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1936","[Negative] EKMS_Privilege_09: Fail to grant privileges with target group name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1302","[Positive] EKMS_IP_06: Add a second valid IP address to whitelist","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","348","[Negative] EKMS_IP_02: Fail to add duplicate IP address while still whitelisted","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","498","[Positive] EKMS_Group_14: List all groups to verify group inventory","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","774","[Negative] EKMS_Owner_11: Fail to add owner with incorrect admin password","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
